subject_ids,num_class,num_votes,agg_num_species,diff_species,choice,votes,propvote,propclass,med_count,min_count,max_count,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING
31428286,4,4,1,1,NOTHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428287,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428288,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428289,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428290,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428291,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428292,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428293,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428294,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428295,2,2,1,2,TURKEY,1,0.5,0.5,2,2,2,0,0,0,0,0,0,0,1
31428296,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428297,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0.333333333,0,0.666666667,0.333333333
31428298,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428299,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0.333333333,0,0,0,1
31428300,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428301,7,8,1,4,SOMETHINGHERE,5,0.625,0.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428302,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428303,3,3,1,1,DOMESTICDOG,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428304,1,1,1,1,COYOTE,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428305,5,5,1,1,HUMAN,5,1,1,1,1,1,0,0,0,0,0.2,0.4,0,0.8
31428306,2,2,1,1,COYOTE,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428307,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428308,4,4,1,1,SOMETHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428309,3,3,1,1,DEERWHITETAILED,3,1,1,NA,NA,NA,0,0,0,0.333333333,0,0,0.333333333,0.666666667
31428310,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428311,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428312,7,7,1,2,SNOWSHOEHARE,4,0.571428571,0.571428571,1,1,1,0,0,0,0,0,0,0.25,1
31428313,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428314,6,6,1,1,SQUIRRELGRAY,6,1,1,1,1,1,0,0,0,0,0,0,0.8,0.2
31428315,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.5,0,0,0.75,0
31428316,5,5,1,1,DEERWHITETAILED,5,1,1,2,1,2,0,0,0,0.4,0,0,0,0.8
31428317,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428318,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428319,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428320,2,3,2,2,SOMETHINGHERE,2,0.666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428321,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0,0,0,0.666666667,0.333333333
31428322,6,6,1,1,SQUIRRELGRAY,6,1,1,1,1,1,0,0,0,0.166666667,0,0,0,1
31428323,5,5,1,2,SQUIRRELGRAY,4,0.8,0.8,1,1,1,0,0,0,0,0,0,0,1
31428324,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,1,0,0,0.333333333,0
31428325,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0.666666667,0,0,0,1
31428326,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0.666666667,0,0,0,0.666666667
31428327,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428328,5,5,1,1,SQUIRRELGRAY,5,1,1,1,1,1,0,0,0,0.4,0,0,0,1
31428329,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428330,4,4,1,1,PORCUPINE,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428331,5,5,1,1,PORCUPINE,5,1,1,1,1,1,1,0,0,0,0,0,0,0
31428332,4,4,1,1,SQUIRRELGRAY,4,1,1,NA,NA,NA,0,0.333333333,0,0.333333333,0,0,0,0.666666667
31428333,1,1,1,1,SQUIRRELGRAY,1,1,1,1,1,1,0,0,0,0,0,0,0,1
