subject_ids,num_class,num_votes,agg_num_species,diff_species,choice,votes.x,propvote.x,propclass.x,med_count.x,min_count.x,max_count.x,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING,classification_id,user_name,workflow_version,task_index,task,task_label,value,total_submissions,submission_index,choice.y,choice.1,Number,SnowDepth,Young,Antlers,Precipitation,behavior_CLIMBING.y,behavior_DIGGING.y,behavior_FLYING.y,behavior_FORAGINGEATING.y,behavior_INTERACTING.y,behavior_OTHER.y,behavior_SITTINGSTANDINGLYING.y,behavior_WALKINGRUNNING.y,subject_ids.1,ForestType,ForestName,Image1,Image2,Image3,Camera,SDCard,PhotoBatch,Class_Round,num_class.y,num_species,check_num_spp,num_votes.y,diff_species.y,agg_num_species.y
31428286,4,4,1,1,NOTHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155951222,anvon15,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428286,Deciduous ,SH,03_05_SH_000001.JPG,03_05_SH_000002.JPG,03_05_SH_000003.JPG,3,5,1,1,4,1,1,4,1,1
31428287,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156440008,brigidbarstow,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428287,Deciduous ,SH,03_05_SH_000004.JPG,03_05_SH_000005.JPG,03_05_SH_000006.JPG,3,5,1,1,5,1,1,5,1,1
31428288,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155209169,barthelmess,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428288,Deciduous ,SH,03_05_SH_000007.JPG,03_05_SH_000008.JPG,03_05_SH_000009.JPG,3,5,1,1,6,1,1,6,1,1
31428289,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155949282,anvon15,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428289,Deciduous ,SH,03_05_SH_000010.JPG,03_05_SH_000011.JPG,03_05_SH_000012.JPG,3,5,1,1,3,1,1,3,1,1
31428290,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155950164,anvon15,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428290,Deciduous ,SH,03_05_SH_000013.JPG,03_05_SH_000014.JPG,03_05_SH_000015.JPG,3,5,1,1,4,1,1,4,2,1
31428291,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154692193,Hartk,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428291,Pine ,WF,04_26_WF_000001.JPG,04_26_WF_000002.JPG,04_26_WF_000003.JPG,4,26,1,1,5,1,1,5,1,1
31428292,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154693994,not-logged-in-42881cd7c1c2c2f4d1fc,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428292,Pine ,WF,04_26_WF_000004.JPG,04_26_WF_000005.JPG,04_26_WF_000006.JPG,4,26,1,1,1,1,1,1,1,1
31428293,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155213230,barthelmess,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428293,Pine ,WF,04_26_WF_000007.JPG,04_26_WF_000008.JPG,04_26_WF_000009.JPG,4,26,1,1,6,1,1,6,1,1
31428294,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155997813,LJKinsey,123.17,1,T0,NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428294,Pine ,WF,04_26_WF_000010.JPG,04_26_WF_000011.JPG,04_26_WF_000012.JPG,4,26,1,1,2,1,1,2,1,1
31428295,2,2,1,2,TURKEY,1,0.5,0.5,2,2,2,0,0,0,0,0,0,0,1,156720982,seauch15,123.17,1,T0,NA,"list(list(choice = ""CROWORRAVEN"", answers = list(HOWMANY = ""2"", SNOWDEPTH = ""2030CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list(TYPE = ""BIRD"")))",1,1,CROWORRAVEN,NA,2,2030CM,NO,NA,NO,0,0,0,0,0,0,1,0,31428295,Pine ,WF,04_26_WF_000013.JPG,04_26_WF_000014.JPG,04_26_WF_000015.JPG,4,26,1,1,2,1,1,2,2,1
