"","X1","classification_id","subject_ids","user_name","workflow_version","task_index","task","task_label","value","total_submissions","submission_index","choice","choice.1","Number","SnowDepth","Young","Antlers","Precipitation","behavior_CLIMBING","behavior_DIGGING","behavior_FLYING","behavior_FORAGINGEATING","behavior_INTERACTING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING","subject_ids_1","ForestType","ForestName","Image1","Image2","Image3","Camera","SDCard","PhotoBatch","Class_Round"
"1",1,153661836,31428949,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""FORAGINGEATING"", ""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,1,"010CM","NO","NO","NO",0,0,0,1,0,0,1,0,31428949,"Pine","DEG","29_19_DEG_0049.JPG","29_19_DEG_0050.JPG","29_19_DEG_0051.JPG",29,19,1,1
"2",2,153661987,31428586,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,1,NA,"NO","NO","NO",0,0,0,0,0,0,1,0,31428586,"Deciduous","BC","17_24_BC_000172.JPG","17_24_BC_000173.JPG","17_24_BC_000174.JPG",17,24,1,1
"3",3,153662178,31429018,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""3040CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,1,"3040CM","NO",NA,"NO",0,0,0,0,0,0,0,1,31429018,"Pine","DEG","29_19_DEG_0274.JPG","29_19_DEG_0275.JPG","29_19_DEG_0276.JPG",29,19,1,1
"4",4,153662968,31428530,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""2"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,2,NA,"NO","NO","NO",0,0,0,0,0,0,0,1,31428530,"Deciduous","BC","17_24_BC_000004.JPG","17_24_BC_000005.JPG","17_24_BC_000006.JPG",17,24,1,1
"5",5,153663123,31428910,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OTHERSMALLMAMMAL",NA,1,"010CM","NO",NA,"NO",0,0,0,0,0,0,0,1,31428910,"Deciduous","SH","25_09_SH_0048.JPG","25_09_SH_0049.JPG","25_09_SH_0050.JPG",25,9,1,1
"6",6,153663191,31428697,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428697,"Deciduous","DON","21_21_DON_0165.JPG","21_21_DON_0166.JPG","21_21_DON_0167.JPG",21,21,1,1
"7",7,153663312,31428678,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31428678,"Deciduous","DON","21_21_DON_0108.JPG","21_21_DON_0109.JPG","21_21_DON_0110.JPG",21,21,1,1
"8",8,153663452,31428399,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""2"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"", ""FORAGINGEATING"")), filters = list()))",1,1,"SQUIRRELGRAY",NA,2,"010CM","NO",NA,"NO",0,0,0,1,0,0,0,1,31428399,"Deciduous","BC","11_13_BC_000256.JPG","11_13_BC_000257.JPG","11_13_BC_000258.JPG",11,13,1,1
"9",9,153663590,31429004,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,1,"010CM","NO","NO","NO",0,0,0,0,0,0,0,1,31429004,"Pine","DEG","29_19_DEG_0232.JPG","29_19_DEG_0233.JPG","29_19_DEG_0234.JPG",29,19,1,1
"10",10,153663734,31428563,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,1,NA,"NO","NO","NO",0,0,0,0,0,0,0,1,31428563,"Deciduous","BC","17_24_BC_000103.JPG","17_24_BC_000104.JPG","17_24_BC_000105.JPG",17,24,1,1
