"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"646","./21_40_DON_0001.JPG","21_40_DON_0001.JPG","710 kB","BTC5HDP",2019-09-18 00:16:02,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",1
"648","./21_40_DON_0002.JPG","21_40_DON_0002.JPG","798 kB","BTC5HDP",2019-09-18 00:16:05,"2000x1111","42.0 mm","1/24",2.4,100,"Unknown (288)","Auto, Fired",1
"650","./21_40_DON_0003.JPG","21_40_DON_0003.JPG","786 kB","BTC5HDP",2019-09-18 00:16:07,"2000x1111","42.0 mm","1/29",2.4,100,"Unknown (288)","Auto, Fired",1
"652","./21_40_DON_0004.JPG","21_40_DON_0004.JPG","836 kB","BTC5HDP",2019-09-19 09:49:19,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",2
"654","./21_40_DON_0005.JPG","21_40_DON_0005.JPG","835 kB","BTC5HDP",2019-09-19 09:49:22,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",2
"656","./21_40_DON_0006.JPG","21_40_DON_0006.JPG","835 kB","BTC5HDP",2019-09-19 09:49:24,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",2
"2","./10_35_DON_000001.JPG","10_35_DON_000001.JPG","841 kB","",2019-09-19 15:29:52,"2000x1500","","0",2.8,100,"","No Flash",3
"6","./10_35_DON_000002.JPG","10_35_DON_000002.JPG","841 kB","",2019-09-19 15:29:53,"2000x1500","","0",2.8,100,"","No Flash",3
"10","./10_35_DON_000003.JPG","10_35_DON_000003.JPG","841 kB","",2019-09-19 15:29:53,"2000x1500","","0",2.8,100,"","No Flash",3
"14","./10_35_DON_000004.JPG","10_35_DON_000004.JPG","808 kB","",2019-09-19 15:34:35,"2000x1500","","0",2.8,100,"","No Flash",4
"18","./10_35_DON_000005.JPG","10_35_DON_000005.JPG","807 kB","",2019-09-19 15:34:35,"2000x1500","","0",2.8,100,"","No Flash",4
"22","./10_35_DON_000006.JPG","10_35_DON_000006.JPG","808 kB","",2019-09-19 15:34:36,"2000x1500","","0",2.8,100,"","No Flash",4
"26","./10_35_DON_000007.JPG","10_35_DON_000007.JPG","767 kB","",2019-09-19 22:09:44,"2000x1500","","0",2.8,100,"","No Flash",5
"30","./10_35_DON_000008.JPG","10_35_DON_000008.JPG","766 kB","",2019-09-19 22:09:44,"2000x1500","","0",2.8,100,"","No Flash",5
"34","./10_35_DON_000009.JPG","10_35_DON_000009.JPG","765 kB","",2019-09-19 22:09:45,"2000x1500","","0",2.8,100,"","No Flash",5
"658","./21_40_DON_0007.JPG","21_40_DON_0007.JPG","865 kB","BTC5HDP",2019-09-20 07:26:30,"2000x1111","42.0 mm","1/15",2.4,800,"Unknown (288)","Auto, Did not fire",6
"660","./21_40_DON_0008.JPG","21_40_DON_0008.JPG","871 kB","BTC5HDP",2019-09-20 07:26:32,"2000x1111","42.0 mm","1/15",2.4,400,"Unknown (288)","Auto, Did not fire",6
"662","./21_40_DON_0009.JPG","21_40_DON_0009.JPG","870 kB","BTC5HDP",2019-09-20 07:26:34,"2000x1111","42.0 mm","1/15",2.4,400,"Unknown (288)","Auto, Did not fire",6
"664","./21_40_DON_0010.JPG","21_40_DON_0010.JPG","830 kB","BTC5HDP",2019-09-21 15:48:13,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Did not fire",7
"666","./21_40_DON_0011.JPG","21_40_DON_0011.JPG","830 kB","BTC5HDP",2019-09-21 15:48:15,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Did not fire",7
"668","./21_40_DON_0012.JPG","21_40_DON_0012.JPG","830 kB","BTC5HDP",2019-09-21 15:48:17,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Did not fire",7
"670","./21_40_DON_0013.JPG","21_40_DON_0013.JPG","878 kB","BTC5HDP",2019-09-22 03:10:42,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",8
"672","./21_40_DON_0014.JPG","21_40_DON_0014.JPG","793 kB","BTC5HDP",2019-09-22 03:10:45,"2000x1111","42.0 mm","1/24",2.4,100,"Unknown (288)","Auto, Fired",8
"674","./21_40_DON_0015.JPG","21_40_DON_0015.JPG","779 kB","BTC5HDP",2019-09-22 03:10:47,"2000x1111","42.0 mm","1/29",2.4,100,"Unknown (288)","Auto, Fired",8
"676","./21_40_DON_0016.JPG","21_40_DON_0016.JPG","858 kB","BTC5HDP",2019-09-22 07:12:53,"2000x1111","42.0 mm","1/15",2.4,800,"Unknown (288)","Auto, Did not fire",9
"678","./21_40_DON_0017.JPG","21_40_DON_0017.JPG","858 kB","BTC5HDP",2019-09-22 07:12:55,"2000x1111","42.0 mm","1/15",2.4,800,"Unknown (288)","Auto, Did not fire",9
"680","./21_40_DON_0018.JPG","21_40_DON_0018.JPG","860 kB","BTC5HDP",2019-09-22 07:12:57,"2000x1111","42.0 mm","1/15",2.4,800,"Unknown (288)","Auto, Did not fire",9
"682","./21_40_DON_0019.JPG","21_40_DON_0019.JPG","845 kB","BTC5HDP",2019-09-22 09:06:05,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",10
"684","./21_40_DON_0020.JPG","21_40_DON_0020.JPG","848 kB","BTC5HDP",2019-09-22 09:06:07,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",10
"686","./21_40_DON_0021.JPG","21_40_DON_0021.JPG","847 kB","BTC5HDP",2019-09-22 09:06:09,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",10
"688","./21_40_DON_0022.JPG","21_40_DON_0022.JPG","855 kB","BTC5HDP",2019-09-22 09:07:18,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",11
"690","./21_40_DON_0023.JPG","21_40_DON_0023.JPG","857 kB","BTC5HDP",2019-09-22 09:07:20,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",11
"692","./21_40_DON_0024.JPG","21_40_DON_0024.JPG","856 kB","BTC5HDP",2019-09-22 09:07:22,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",11
"694","./21_40_DON_0025.JPG","21_40_DON_0025.JPG","862 kB","BTC5HDP",2019-09-22 10:20:52,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",12
"696","./21_40_DON_0026.JPG","21_40_DON_0026.JPG","861 kB","BTC5HDP",2019-09-22 10:20:55,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",12
"698","./21_40_DON_0027.JPG","21_40_DON_0027.JPG","861 kB","BTC5HDP",2019-09-22 10:20:57,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",12
"38","./10_35_DON_000010.JPG","10_35_DON_000010.JPG","833 kB","",2019-09-24 13:20:03,"2000x1500","","0",2.8,100,"","No Flash",13
"42","./10_35_DON_000011.JPG","10_35_DON_000011.JPG","833 kB","",2019-09-24 13:20:03,"2000x1500","","0",2.8,100,"","No Flash",13
"46","./10_35_DON_000012.JPG","10_35_DON_000012.JPG","832 kB","",2019-09-24 13:20:04,"2000x1500","","0",2.8,100,"","No Flash",13
"700","./21_40_DON_0028.JPG","21_40_DON_0028.JPG","856 kB","BTC5HDP",2019-09-26 01:46:10,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",14
"702","./21_40_DON_0029.JPG","21_40_DON_0029.JPG","806 kB","BTC5HDP",2019-09-26 01:46:12,"2000x1111","42.0 mm","1/23",2.4,100,"Unknown (288)","Auto, Fired",14
"704","./21_40_DON_0030.JPG","21_40_DON_0030.JPG","788 kB","BTC5HDP",2019-09-26 01:46:14,"2000x1111","42.0 mm","1/29",2.4,100,"Unknown (288)","Auto, Fired",14
"706","./21_40_DON_0031.JPG","21_40_DON_0031.JPG","764 kB","BTC5HDP",2019-09-26 06:59:59,"2000x1111","42.0 mm","1/21",2.4,100,"Unknown (288)","Auto, Fired",15
"708","./21_40_DON_0032.JPG","21_40_DON_0032.JPG","859 kB","BTC5HDP",2019-09-26 07:00:01,"2000x1111","42.0 mm","1/38",2.4,100,"Unknown (288)","Auto, Fired",15
"710","./21_40_DON_0033.JPG","21_40_DON_0033.JPG","845 kB","BTC5HDP",2019-09-26 07:00:03,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Fired",15
"712","./21_40_DON_0034.JPG","21_40_DON_0034.JPG","761 kB","BTC5HDP",2019-09-26 07:01:26,"2000x1111","42.0 mm","1/24",2.4,100,"Unknown (288)","Auto, Fired",16
"714","./21_40_DON_0035.JPG","21_40_DON_0035.JPG","850 kB","BTC5HDP",2019-09-26 07:01:29,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Fired",16
"716","./21_40_DON_0036.JPG","21_40_DON_0036.JPG","847 kB","BTC5HDP",2019-09-26 07:01:31,"2000x1111","42.0 mm","1/45",2.4,100,"Unknown (288)","Auto, Fired",16
"718","./21_40_DON_0037.JPG","21_40_DON_0037.JPG","753 kB","BTC5HDP",2019-09-26 22:16:32,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",17
"720","./21_40_DON_0038.JPG","21_40_DON_0038.JPG","740 kB","BTC5HDP",2019-09-26 22:16:34,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired",17
"722","./21_40_DON_0039.JPG","21_40_DON_0039.JPG","801 kB","BTC5HDP",2019-09-26 22:16:36,"2000x1111","42.0 mm","1/23",2.4,100,"Unknown (288)","Auto, Fired",17
"724","./21_40_DON_0040.JPG","21_40_DON_0040.JPG","739 kB","BTC5HDP",2019-09-27 03:03:19,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",18
"726","./21_40_DON_0041.JPG","21_40_DON_0041.JPG","819 kB","BTC5HDP",2019-09-27 03:03:21,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired",18
"728","./21_40_DON_0042.JPG","21_40_DON_0042.JPG","793 kB","BTC5HDP",2019-09-27 03:03:23,"2000x1111","42.0 mm","1/24",2.4,100,"Unknown (288)","Auto, Fired",18
"730","./21_40_DON_0043.JPG","21_40_DON_0043.JPG","873 kB","BTC5HDP",2019-09-27 11:47:45,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",19
"732","./21_40_DON_0044.JPG","21_40_DON_0044.JPG","873 kB","BTC5HDP",2019-09-27 11:47:47,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",19
"734","./21_40_DON_0045.JPG","21_40_DON_0045.JPG","873 kB","BTC5HDP",2019-09-27 11:47:49,"2000x1111","42.0 mm","1/40",2.4,200,"Unknown (288)","Auto, Did not fire",19
"736","./21_40_DON_0046.JPG","21_40_DON_0046.JPG","868 kB","BTC5HDP",2019-09-27 15:32:23,"2000x1111","42.0 mm","1/50",2.4,100,"Unknown (288)","Auto, Did not fire",20
"738","./21_40_DON_0047.JPG","21_40_DON_0047.JPG","869 kB","BTC5HDP",2019-09-27 15:32:26,"2000x1111","42.0 mm","1/50",2.4,100,"Unknown (288)","Auto, Did not fire",20
"740","./21_40_DON_0048.JPG","21_40_DON_0048.JPG","868 kB","BTC5HDP",2019-09-27 15:32:27,"2000x1111","42.0 mm","1/50",2.4,100,"Unknown (288)","Auto, Did not fire",20
"742","./21_40_DON_0049.JPG","21_40_DON_0049.JPG","741 kB","BTC5HDP",2019-09-27 18:28:40,"2000x1111","42.0 mm","1/100",2.4,100,"Unknown (288)","Auto, Fired",21
"744","./21_40_DON_0050.JPG","21_40_DON_0050.JPG","743 kB","BTC5HDP",2019-09-27 18:28:43,"2000x1111","42.0 mm","1/100",2.4,100,"Unknown (288)","Auto, Fired",21
"746","./21_40_DON_0051.JPG","21_40_DON_0051.JPG","732 kB","BTC5HDP",2019-09-27 18:28:44,"2000x1111","42.0 mm","1/108",2.4,100,"Unknown (288)","Auto, Fired",21
"748","./21_40_DON_0052.JPG","21_40_DON_0052.JPG","756 kB","BTC5HDP",2019-09-27 18:32:18,"2000x1111","42.0 mm","1/91",2.4,100,"Unknown (288)","Auto, Fired",22
"750","./21_40_DON_0053.JPG","21_40_DON_0053.JPG","742 kB","BTC5HDP",2019-09-27 18:32:20,"2000x1111","42.0 mm","1/100",2.4,100,"Unknown (288)","Auto, Fired",22
"752","./21_40_DON_0054.JPG","21_40_DON_0054.JPG","732 kB","BTC5HDP",2019-09-27 18:32:22,"2000x1111","42.0 mm","1/108",2.4,100,"Unknown (288)","Auto, Fired",22
"50","./10_35_DON_000013.JPG","10_35_DON_000013.JPG","748 kB","",2019-09-28 01:05:06,"2000x1500","","0",2.8,100,"","No Flash",23
"54","./10_35_DON_000014.JPG","10_35_DON_000014.JPG","747 kB","",2019-09-28 01:05:07,"2000x1500","","0",2.8,100,"","No Flash",23
"58","./10_35_DON_000015.JPG","10_35_DON_000015.JPG","747 kB","",2019-09-28 01:05:07,"2000x1500","","0",2.8,100,"","No Flash",23
"62","./10_35_DON_000016.JPG","10_35_DON_000016.JPG","740 kB","",2019-09-28 01:07:01,"2000x1500","","0",2.8,100,"","No Flash",24
"66","./10_35_DON_000017.JPG","10_35_DON_000017.JPG","741 kB","",2019-09-28 01:07:02,"2000x1500","","0",2.8,100,"","No Flash",24
"70","./10_35_DON_000018.JPG","10_35_DON_000018.JPG","741 kB","",2019-09-28 01:07:02,"2000x1500","","0",2.8,100,"","No Flash",24
"74","./10_35_DON_000019.JPG","10_35_DON_000019.JPG","727 kB","",2019-09-28 01:24:14,"2000x1500","","0",2.8,100,"","No Flash",25
"78","./10_35_DON_000020.JPG","10_35_DON_000020.JPG","727 kB","",2019-09-28 01:24:15,"2000x1500","","0",2.8,100,"","No Flash",25
"82","./10_35_DON_000021.JPG","10_35_DON_000021.JPG","727 kB","",2019-09-28 01:24:15,"2000x1500","","0",2.8,100,"","No Flash",25
"86","./10_35_DON_000022.JPG","10_35_DON_000022.JPG","726 kB","",2019-09-28 01:28:32,"2000x1500","","0",2.8,100,"","No Flash",26
"90","./10_35_DON_000023.JPG","10_35_DON_000023.JPG","728 kB","",2019-09-28 01:28:33,"2000x1500","","0",2.8,100,"","No Flash",26
"94","./10_35_DON_000024.JPG","10_35_DON_000024.JPG","729 kB","",2019-09-28 01:28:33,"2000x1500","","0",2.8,100,"","No Flash",26
"98","./10_35_DON_000025.JPG","10_35_DON_000025.JPG","727 kB","",2019-09-28 02:43:09,"2000x1500","","0",2.8,100,"","No Flash",27
"102","./10_35_DON_000026.JPG","10_35_DON_000026.JPG","727 kB","",2019-09-28 02:43:09,"2000x1500","","0",2.8,100,"","No Flash",27
"106","./10_35_DON_000027.JPG","10_35_DON_000027.JPG","727 kB","",2019-09-28 02:43:10,"2000x1500","","0",2.8,100,"","No Flash",27
"110","./10_35_DON_000028.JPG","10_35_DON_000028.JPG","717 kB","",2019-09-28 02:45:33,"2000x1500","","0",2.8,100,"","No Flash",28
"114","./10_35_DON_000029.JPG","10_35_DON_000029.JPG","718 kB","",2019-09-28 02:45:34,"2000x1500","","0",2.8,100,"","No Flash",28
"118","./10_35_DON_000030.JPG","10_35_DON_000030.JPG","717 kB","",2019-09-28 02:45:34,"2000x1500","","0",2.8,100,"","No Flash",28
"122","./10_35_DON_000031.JPG","10_35_DON_000031.JPG","725 kB","",2019-09-28 03:31:52,"2000x1500","","0",2.8,100,"","No Flash",29
"126","./10_35_DON_000032.JPG","10_35_DON_000032.JPG","726 kB","",2019-09-28 03:31:52,"2000x1500","","0",2.8,100,"","No Flash",29
"130","./10_35_DON_000033.JPG","10_35_DON_000033.JPG","727 kB","",2019-09-28 03:31:53,"2000x1500","","0",2.8,100,"","No Flash",29
"134","./10_35_DON_000034.JPG","10_35_DON_000034.JPG","725 kB","",2019-09-28 03:33:35,"2000x1500","","0",2.8,100,"","No Flash",30
"138","./10_35_DON_000035.JPG","10_35_DON_000035.JPG","726 kB","",2019-09-28 03:33:36,"2000x1500","","0",2.8,100,"","No Flash",30
"142","./10_35_DON_000036.JPG","10_35_DON_000036.JPG","726 kB","",2019-09-28 03:33:36,"2000x1500","","0",2.8,100,"","No Flash",30
"146","./10_35_DON_000037.JPG","10_35_DON_000037.JPG","725 kB","",2019-09-28 03:57:13,"2000x1500","","0",2.8,100,"","No Flash",31
"150","./10_35_DON_000038.JPG","10_35_DON_000038.JPG","726 kB","",2019-09-28 03:57:14,"2000x1500","","0",2.8,100,"","No Flash",31
"154","./10_35_DON_000039.JPG","10_35_DON_000039.JPG","725 kB","",2019-09-28 03:57:14,"2000x1500","","0",2.8,100,"","No Flash",31
"158","./10_35_DON_000040.JPG","10_35_DON_000040.JPG","725 kB","",2019-09-28 03:58:50,"2000x1500","","0",2.8,100,"","No Flash",32
"162","./10_35_DON_000041.JPG","10_35_DON_000041.JPG","725 kB","",2019-09-28 03:58:51,"2000x1500","","0",2.8,100,"","No Flash",32
"166","./10_35_DON_000042.JPG","10_35_DON_000042.JPG","726 kB","",2019-09-28 03:58:51,"2000x1500","","0",2.8,100,"","No Flash",32
"170","./10_35_DON_000043.JPG","10_35_DON_000043.JPG","73 kB","",2019-09-28 04:00:27,"2000x1500","","0",2.8,100,"","No Flash",33
"174","./10_35_DON_000044.JPG","10_35_DON_000044.JPG","73 kB","",2019-09-28 04:00:28,"2000x1500","","0",2.8,100,"","No Flash",33
"178","./10_35_DON_000045.JPG","10_35_DON_000045.JPG","74 kB","",2019-09-28 04:00:28,"2000x1500","","0",2.8,100,"","No Flash",33
"182","./10_35_DON_000046.JPG","10_35_DON_000046.JPG","73 kB","",2019-09-28 04:02:04,"2000x1500","","0",2.8,100,"","No Flash",34
"186","./10_35_DON_000047.JPG","10_35_DON_000047.JPG","73 kB","",2019-09-28 04:02:05,"2000x1500","","0",2.8,100,"","No Flash",34
"190","./10_35_DON_000048.JPG","10_35_DON_000048.JPG","74 kB","",2019-09-28 04:02:05,"2000x1500","","0",2.8,100,"","No Flash",34
"194","./10_35_DON_000049.JPG","10_35_DON_000049.JPG","73 kB","",2019-09-28 04:03:41,"2000x1500","","0",2.8,100,"","No Flash",35
"198","./10_35_DON_000050.JPG","10_35_DON_000050.JPG","73 kB","",2019-09-28 04:03:42,"2000x1500","","0",2.8,100,"","No Flash",35
"202","./10_35_DON_000051.JPG","10_35_DON_000051.JPG","74 kB","",2019-09-28 04:03:42,"2000x1500","","0",2.8,100,"","No Flash",35
"206","./10_35_DON_000052.JPG","10_35_DON_000052.JPG","73 kB","",2019-09-28 04:05:18,"2000x1500","","0",2.8,100,"","No Flash",36
"210","./10_35_DON_000053.JPG","10_35_DON_000053.JPG","73 kB","",2019-09-28 04:05:19,"2000x1500","","0",2.8,100,"","No Flash",36
"214","./10_35_DON_000054.JPG","10_35_DON_000054.JPG","73 kB","",2019-09-28 04:05:19,"2000x1500","","0",2.8,100,"","No Flash",36
"218","./10_35_DON_000055.JPG","10_35_DON_000055.JPG","73 kB","",2019-09-28 04:06:55,"2000x1500","","0",2.8,100,"","No Flash",37
"222","./10_35_DON_000056.JPG","10_35_DON_000056.JPG","74 kB","",2019-09-28 04:06:56,"2000x1500","","0",2.8,100,"","No Flash",37
"226","./10_35_DON_000057.JPG","10_35_DON_000057.JPG","74 kB","",2019-09-28 04:06:56,"2000x1500","","0",2.8,100,"","No Flash",37
"230","./10_35_DON_000058.JPG","10_35_DON_000058.JPG","74 kB","",2019-09-28 04:08:32,"2000x1500","","0",2.8,100,"","No Flash",38
"234","./10_35_DON_000059.JPG","10_35_DON_000059.JPG","74 kB","",2019-09-28 04:08:33,"2000x1500","","0",2.8,100,"","No Flash",38
"238","./10_35_DON_000060.JPG","10_35_DON_000060.JPG","74 kB","",2019-09-28 04:08:33,"2000x1500","","0",2.8,100,"","No Flash",38
