SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./30_17_DON_0001.JPG,30_17_DON_0001.JPG,854 kB,BTC5HDP,2019:09:20 04:15:16,2000x1111,42.0 mm,1/20,2.4,1600,Unknown (288),"Auto, Fired"
./._30_17_DON_0001.JPG,._30_17_DON_0001.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0002.JPG,30_17_DON_0002.JPG,873 kB,BTC5HDP,2019:09:20 04:15:18,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0002.JPG,._30_17_DON_0002.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0003.JPG,30_17_DON_0003.JPG,782 kB,BTC5HDP,2019:09:20 04:15:20,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0003.JPG,._30_17_DON_0003.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0004.JPG,30_17_DON_0004.JPG,840 kB,BTC5HDP,2019:09:21 03:06:11,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./._30_17_DON_0004.JPG,._30_17_DON_0004.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0005.JPG,30_17_DON_0005.JPG,834 kB,BTC5HDP,2019:09:21 03:06:13,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0005.JPG,._30_17_DON_0005.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0006.JPG,30_17_DON_0006.JPG,780 kB,BTC5HDP,2019:09:21 03:06:15,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0006.JPG,._30_17_DON_0006.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0007.JPG,30_17_DON_0007.JPG,791 kB,BTC5HDP,2019:09:21 04:39:02,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0007.JPG,._30_17_DON_0007.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0008.JPG,30_17_DON_0008.JPG,765 kB,BTC5HDP,2019:09:21 04:39:04,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0008.JPG,._30_17_DON_0008.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0009.JPG,30_17_DON_0009.JPG,783 kB,BTC5HDP,2019:09:21 04:39:06,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0009.JPG,._30_17_DON_0009.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0010.JPG,30_17_DON_0010.JPG,847 kB,BTC5HDP,2019:09:21 10:31:28,2000x1111,42.0 mm,1/95,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0010.JPG,._30_17_DON_0010.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0011.JPG,30_17_DON_0011.JPG,843 kB,BTC5HDP,2019:09:21 10:31:30,2000x1111,42.0 mm,1/103,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0011.JPG,._30_17_DON_0011.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0012.JPG,30_17_DON_0012.JPG,839 kB,BTC5HDP,2019:09:21 10:31:32,2000x1111,42.0 mm,1/108,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0012.JPG,._30_17_DON_0012.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0013.JPG,30_17_DON_0013.JPG,842 kB,BTC5HDP,2019:09:22 15:19:50,2000x1111,42.0 mm,1/52,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0013.JPG,._30_17_DON_0013.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0014.JPG,30_17_DON_0014.JPG,839 kB,BTC5HDP,2019:09:22 15:19:52,2000x1111,42.0 mm,1/52,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0014.JPG,._30_17_DON_0014.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0015.JPG,30_17_DON_0015.JPG,840 kB,BTC5HDP,2019:09:22 15:19:54,2000x1111,42.0 mm,1/52,2.4,100,Unknown (288),"Auto, Did not fire"
./._30_17_DON_0015.JPG,._30_17_DON_0015.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0016.JPG,30_17_DON_0016.JPG,855 kB,BTC5HDP,2019:09:23 03:46:20,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0016.JPG,._30_17_DON_0016.JPG,4.0 kB,,,,,,,,,
./30_17_DON_0017.JPG,30_17_DON_0017.JPG,779 kB,BTC5HDP,2019:09:23 03:46:23,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./._30_17_DON_0017.JPG,._30_17_DON_0017.JPG,4.0 kB,,,,,,,,,
