SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./27_41_BC_0001.JPG,27_41_BC_0001.JPG,835 kB,BTC5HDP,2019:10:09 17:14:12,2000x1111,42.0 mm,1/45,2.4,100,Unknown (288),"Auto, Did not fire"
./10_35_DON_000001.JPG,10_35_DON_000001.JPG,841 kB,,2019:09:19 15:29:52,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0002.JPG,27_41_BC_0002.JPG,831 kB,BTC5HDP,2019:10:09 17:14:14,2000x1111,42.0 mm,1/47,2.4,100,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000001.JPG,._10_35_DON_000001.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0003.JPG,27_41_BC_0003.JPG,832 kB,BTC5HDP,2019:10:09 17:14:16,2000x1111,42.0 mm,1/47,2.4,100,Unknown (288),"Auto, Did not fire"
./10_35_DON_000002.JPG,10_35_DON_000002.JPG,841 kB,,2019:09:19 15:29:53,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0004.JPG,27_41_BC_0004.JPG,847 kB,BTC5HDP,2019:10:09 17:15:18,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000002.JPG,._10_35_DON_000002.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0005.JPG,27_41_BC_0005.JPG,847 kB,BTC5HDP,2019:10:09 17:15:20,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./10_35_DON_000003.JPG,10_35_DON_000003.JPG,841 kB,,2019:09:19 15:29:53,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0006.JPG,27_41_BC_0006.JPG,838 kB,BTC5HDP,2019:10:09 17:15:22,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000003.JPG,._10_35_DON_000003.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0007.JPG,27_41_BC_0007.JPG,826 kB,BTC5HDP,2019:10:12 17:36:39,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./10_35_DON_000004.JPG,10_35_DON_000004.JPG,808 kB,,2019:09:19 15:34:35,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0008.JPG,27_41_BC_0008.JPG,862 kB,BTC5HDP,2019:10:12 17:36:41,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000004.JPG,._10_35_DON_000004.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0009.JPG,27_41_BC_0009.JPG,877 kB,BTC5HDP,2019:10:12 17:36:43,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./10_35_DON_000005.JPG,10_35_DON_000005.JPG,807 kB,,2019:09:19 15:34:35,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0010.JPG,27_41_BC_0010.JPG,872 kB,BTC5HDP,2019:10:12 17:37:49,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000005.JPG,._10_35_DON_000005.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0011.JPG,27_41_BC_0011.JPG,863 kB,BTC5HDP,2019:10:12 17:37:51,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./10_35_DON_000006.JPG,10_35_DON_000006.JPG,808 kB,,2019:09:19 15:34:36,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0012.JPG,27_41_BC_0012.JPG,872 kB,BTC5HDP,2019:10:12 17:37:53,2000x1111,42.0 mm,1/15,2.4,200,Unknown (288),"Auto, Did not fire"
./._10_35_DON_000006.JPG,._10_35_DON_000006.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0013.JPG,27_41_BC_0013.JPG,770 kB,BTC5HDP,2019:10:12 19:05:55,2000x1111,42.0 mm,1/20,2.4,1600,Unknown (288),"Auto, Fired"
./10_35_DON_000007.JPG,10_35_DON_000007.JPG,767 kB,,2019:09:19 22:09:44,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0014.JPG,27_41_BC_0014.JPG,858 kB,BTC5HDP,2019:10:12 19:05:57,2000x1111,42.0 mm,1/24,2.4,100,Unknown (288),"Auto, Fired"
./._10_35_DON_000007.JPG,._10_35_DON_000007.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0015.JPG,27_41_BC_0015.JPG,830 kB,BTC5HDP,2019:10:12 19:05:59,2000x1111,42.0 mm,1/33,2.4,100,Unknown (288),"Auto, Fired"
./10_35_DON_000008.JPG,10_35_DON_000008.JPG,766 kB,,2019:09:19 22:09:44,2000x1500,,0,2.8,100,,No Flash
./27_41_BC_0016.JPG,27_41_BC_0016.JPG,788 kB,BTC5HDP,2019:10:13 03:02:47,2000x1111,42.0 mm,1/20,2.4,100,Unknown (288),"Auto, Fired"
./._10_35_DON_000008.JPG,._10_35_DON_000008.JPG,4.0 kB,,,,,,,,,
./27_41_BC_0017.JPG,27_41_BC_0017.JPG,842 kB,BTC5HDP,2019:10:13 03:02:49,2000x1111,42.0 mm,1/25,2.4,100,Unknown (288),"Auto, Fired"
