SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./30_20_BC_0001.jpg,30_20_BC_0001.jpg,314 kB,BTC5HDP,2018:11:15 15:00:00,2000x1111,42.0 mm,1/20,2.4,1600,Unknown (288),"Auto, Fired"
./28_15_DEG_0001.jpg,28_15_DEG_0001.jpg,288 kB,BTC5HDP,2018:11:26 15:00:00,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./30_20_BC_0002.jpg,30_20_BC_0002.jpg,220 kB,BTC5HDP,2018:11:15 15:00:02,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./08_23_DEG_000016.jpg,08_23_DEG_000016.jpg,546 kB,,2013:01:01 00:00:00,2000x1500,,1,2.8,100,As Shot,No Flash
./30_20_BC_0003.jpg,30_20_BC_0003.jpg,186 kB,BTC5HDP,2018:11:15 15:00:03,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./28_15_DEG_0002.jpg,28_15_DEG_0002.jpg,289 kB,BTC5HDP,2018:11:26 15:00:02,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./30_20_BC_0004.jpg,30_20_BC_0004.jpg,245 kB,BTC5HDP,2018:11:16 19:51:22,2000x1111,42.0 mm,1/20,2.4,800,Unknown (288),"Auto, Fired"
./27_08_IMG_0001.jpg,27_08_IMG_0001.jpg,349 kB,BTC5HDP,2018:12:13 13:49:04,2000x1111,42.0 mm,1/1800,2.4,100,Unknown (288),"Auto, Did not fire"
./30_20_BC_0005.jpg,30_20_BC_0005.jpg,210 kB,BTC5HDP,2018:11:16 19:51:24,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./28_15_DEG_0003.jpg,28_15_DEG_0003.jpg,290 kB,BTC5HDP,2018:11:26 15:00:04,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./30_20_BC_0006.jpg,30_20_BC_0006.jpg,195 kB,BTC5HDP,2018:11:16 19:51:26,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./08_23_DEG_000017.jpg,08_23_DEG_000017.jpg,545 kB,,2013:01:01 00:00:01,2000x1500,,1,2.8,100,As Shot,No Flash
./30_20_BC_0007.jpg,30_20_BC_0007.jpg,193 kB,BTC5HDP,2018:11:16 22:16:23,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./28_15_DEG_0004.jpg,28_15_DEG_0004.jpg,360 kB,BTC5HDP,2018:11:26 15:00:15,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./30_20_BC_0008.jpg,30_20_BC_0008.jpg,197 kB,BTC5HDP,2018:11:16 22:16:25,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./03_05_SH_000016.jpg,03_05_SH_000016.jpg,133 kB,,2013:01:01 00:00:00,2000x1500,,1,2.8,100,As Shot,No Flash
./30_20_BC_0009.jpg,30_20_BC_0009.jpg,194 kB,BTC5HDP,2018:11:16 22:16:27,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./28_15_DEG_0005.jpg,28_15_DEG_0005.jpg,339 kB,BTC5HDP,2018:11:26 15:00:17,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./30_20_BC_0010.jpg,30_20_BC_0010.jpg,179 kB,BTC5HDP,2018:11:16 22:18:20,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./08_23_DEG_000018.jpg,08_23_DEG_000018.jpg,545 kB,,2013:01:01 00:00:01,2000x1500,,1,2.8,100,As Shot,No Flash
./30_20_BC_0011.jpg,30_20_BC_0011.jpg,179 kB,BTC5HDP,2018:11:16 22:18:22,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./28_15_DEG_0006.jpg,28_15_DEG_0006.jpg,336 kB,BTC5HDP,2018:11:26 15:00:19,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./30_20_BC_0012.jpg,30_20_BC_0012.jpg,202 kB,BTC5HDP,2018:11:16 22:18:24,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./27_08_IMG_0002.jpg,27_08_IMG_0002.jpg,341 kB,BTC5HDP,2018:12:13 13:49:06,2000x1111,42.0 mm,1/1200,2.4,100,Unknown (288),"Auto, Did not fire"
./30_20_BC_0013.jpg,30_20_BC_0013.jpg,211 kB,BTC5HDP,2018:11:16 22:19:57,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./28_15_DEG_0007.jpg,28_15_DEG_0007.jpg,282 kB,BTC5HDP,2018:11:26 15:00:31,2000x1111,42.0 mm,1/15,2.4,400,Unknown (288),"Auto, Did not fire"
./30_20_BC_0014.jpg,30_20_BC_0014.jpg,179 kB,BTC5HDP,2018:11:16 22:19:59,2000x1111,42.0 mm,1/20,2.4,400,Unknown (288),"Auto, Fired"
./08_23_DEG_000019.jpg,08_23_DEG_000019.jpg,248 kB,,2013:01:01 18:16:00,2000x1500,,1,2.8,100,As Shot,No Flash
