SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./17_08_BC_000001.JPG,17_08_BC_000001.JPG,860 kB,,2019:03:15 17:22:34,2000x1500,,0,2.8,100,,No Flash
./08_11_DEG_000001.JPG,08_11_DEG_000001.JPG,761 kB,,2019:02:08 16:54:43,2000x1500,,0,2.8,100,,No Flash
./17_08_BC_000002.JPG,17_08_BC_000002.JPG,859 kB,,2019:03:15 17:22:34,2000x1500,,0,2.8,100,,No Flash
./24_18_BC_0001.JPG,24_18_BC_0001.JPG,829 kB,BTC5HDP,2019:03:09 14:01:57,2000x1111,42.0 mm,1/4467,2.4,100,Unknown (288),"Auto, Did not fire"
./17_08_BC_000003.JPG,17_08_BC_000003.JPG,790 kB,,2019:03:15 17:22:35,2000x1500,,0,2.8,100,,No Flash
./29_12_DEG_0001.JPG,29_12_DEG_0001.JPG,809 kB,BTC5HDP,2019:02:09 08:18:10,2000x1111,42.0 mm,1/189,2.4,100,Unknown (288),"Auto, Did not fire"
./17_08_BC_000004.JPG,17_08_BC_000004.JPG,781 kB,,2019:03:20 05:05:14,2000x1500,,0,2.8,100,,No Flash
./24_18_BC_0002.JPG,24_18_BC_0002.JPG,831 kB,BTC5HDP,2019:03:09 14:01:59,2000x1111,42.0 mm,1/4871,2.4,100,Unknown (288),"Auto, Did not fire"
./17_08_BC_000005.JPG,17_08_BC_000005.JPG,779 kB,,2019:03:20 05:05:14,2000x1500,,0,2.8,100,,No Flash
./11_21_BC_000001.JPG,11_21_BC_000001.JPG,850 kB,,2019:03:09 11:01:53,2000x1500,,0,2.8,100,,No Flash
./17_08_BC_000006.JPG,17_08_BC_000006.JPG,780 kB,,2019:03:20 05:05:15,2000x1500,,0,2.8,100,,No Flash
./24_18_BC_0003.JPG,24_18_BC_0003.JPG,831 kB,BTC5HDP,2019:03:09 14:02:01,2000x1111,42.0 mm,1/4871,2.4,100,Unknown (288),"Auto, Did not fire"
./17_08_BC_000007.JPG,17_08_BC_000007.JPG,781 kB,,2019:03:20 05:07:38,2000x1500,,0,2.8,100,,No Flash
