Sampling.Unit.Name,Event,td.photo,ndays,Start.Date,End.Date,bin,Photo.Date,Photo.Time,Sampling.Event
03_05_SH,03_05_SH_000001.JPG,11/14/18 16:00,89,11/14/18,2/11/19,NOTHINGHERE,11/14/18,11:00:10,2019.01
03_05_SH,03_05_SH_000004.JPG,11/19/18 4:08,89,11/14/18,2/11/19,NOTHINGHERE,11/19/18,23:08:12,2019.01
03_05_SH,03_05_SH_000007.JPG,11/22/18 9:00,89,11/14/18,2/11/19,NOTHINGHERE,11/22/18,4:00:17,2019.01
03_05_SH,03_05_SH_000010.JPG,11/25/18 13:38,89,11/14/18,2/11/19,NOTHINGHERE,11/25/18,8:38:06,2019.01
03_05_SH,03_05_SH_000013.JPG,11/28/18 6:43,89,11/14/18,2/11/19,SOMETHINGHERE,11/28/18,1:43:05,2019.01
04_26_WF,04_26_WF_000001.JPG,12/1/18 10:05,65,11/27/18,1/31/19,NOTHINGHERE,12/1/18,5:05:23,2019.01
04_26_WF,04_26_WF_000004.JPG,12/1/18 10:12,65,11/27/18,1/31/19,NOTHINGHERE,12/1/18,5:12:11,2019.01
04_26_WF,04_26_WF_000007.JPG,12/1/18 10:32,65,11/27/18,1/31/19,NOTHINGHERE,12/1/18,5:32:48,2019.01
04_26_WF,04_26_WF_000010.JPG,12/1/18 10:35,65,11/27/18,1/31/19,NOTHINGHERE,12/1/18,5:35:36,2019.01
04_26_WF,04_26_WF_000013.JPG,12/1/18 11:48,65,11/27/18,1/31/19,TURKEY,12/1/18,6:48:30,2019.01
04_26_WF,04_26_WF_000016.JPG,12/2/18 23:44,65,11/27/18,1/31/19,NOTHINGHERE,12/2/18,18:44:02,2019.01
04_26_WF,04_26_WF_000019.JPG,12/5/18 20:03,65,11/27/18,1/31/19,DEERWHITETAILED,12/5/18,15:03:20,2019.01
04_26_WF,04_26_WF_000022.JPG,12/5/18 20:07,65,11/27/18,1/31/19,DEERWHITETAILED,12/5/18,15:07:09,2019.01
04_26_WF,04_26_WF_000025.JPG,12/9/18 17:22,65,11/27/18,1/31/19,DEERWHITETAILED,12/9/18,12:22:07,2019.01
04_26_WF,04_26_WF_000028.JPG,12/22/18 15:25,65,11/27/18,1/31/19,DEERWHITETAILED,12/22/18,10:25:34,2019.01
04_26_WF,04_26_WF_000031.JPG,12/26/18 17:45,65,11/27/18,1/31/19,SOMETHINGHERE,12/26/18,12:45:12,2019.01
04_26_WF,04_26_WF_000034.JPG,12/27/18 8:14,65,11/27/18,1/31/19,DEERWHITETAILED,12/27/18,3:14:02,2019.01
04_26_WF,04_26_WF_000037.JPG,12/27/18 13:20,65,11/27/18,1/31/19,DOMESTICDOG,12/27/18,8:20:32,2019.01
04_26_WF,04_26_WF_000040.JPG,12/29/18 14:54,65,11/27/18,1/31/19,COYOTE,12/29/18,9:54:18,2019.01
04_26_WF,04_26_WF_000043.JPG,12/31/18 11:45,65,11/27/18,1/31/19,HUMAN,12/31/18,6:45:12,2019.01
04_26_WF,04_26_WF_000046.JPG,1/5/19 7:26,65,11/27/18,1/31/19,COYOTE,1/5/19,2:26:42,2019.01
04_26_WF,04_26_WF_000049.JPG,1/10/19 6:33,65,11/27/18,1/31/19,NOTHINGHERE,1/10/19,1:33:08,2019.01
08_23_DEG,08_23_DEG_000001.JPG,11/26/18 4:46,73,11/26/18,2/7/19,SOMETHINGHERE,11/26/18,23:46:56,2019.01
08_23_DEG,08_23_DEG_000004.JPG,11/26/18 6:27,73,11/26/18,2/7/19,DEERWHITETAILED,11/26/18,1:27:17,2019.01
08_23_DEG,08_23_DEG_000007.JPG,11/27/18 7:00,73,11/26/18,2/7/19,SOMETHINGHERE,11/27/18,2:00:47,2019.01
08_23_DEG,08_23_DEG_000010.JPG,11/28/18 17:29,73,11/26/18,2/7/19,NOTHINGHERE,11/28/18,12:29:15,2019.01
08_23_DEG,08_23_DEG_000013.JPG,11/28/18 17:34,73,11/26/18,2/7/19,SNOWSHOEHARE,11/28/18,12:34:32,2019.01
09_25_WF,09_25_WF_000001.JPG,11/28/18 10:16,65,11/27/18,1/31/19,DEERWHITETAILED,11/28/18,5:16:37,2019.01
09_25_WF,09_25_WF_000004.JPG,12/2/18 13:26,65,11/27/18,1/31/19,SQUIRRELGRAY,12/2/18,8:26:01,2019.01
11_13_BC,11_13_BC_000002.JPG,11/16/18 14:17,109,11/15/18,3/4/19,DEERWHITETAILED,11/16/18,9:17:12,2019.01
11_13_BC,11_13_BC_000004.JPG,11/16/18 14:18,109,11/15/18,3/4/19,DEERWHITETAILED,11/16/18,9:18:48,2019.01
11_13_BC,11_13_BC_000007.JPG,11/18/18 13:28,109,11/15/18,3/4/19,NOTHINGHERE,11/18/18,8:28:49,2019.01
11_13_BC,11_13_BC_000010.JPG,11/18/18 20:42,109,11/15/18,3/4/19,NOTHINGHERE,11/18/18,15:42:35,2019.01
11_13_BC,11_13_BC_000013.JPG,11/19/18 3:54,109,11/15/18,3/4/19,SOMETHINGHERE,11/19/18,22:54:04,2019.01
11_13_BC,11_13_BC_000016.JPG,11/20/18 14:15,109,11/15/18,3/4/19,SOMETHINGHERE,11/20/18,9:15:17,2019.01
11_13_BC,11_13_BC_000019.JPG,11/25/18 8:20,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,3:20:21,2019.01
11_13_BC,11_13_BC_000022.JPG,11/25/18 8:48,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,3:48:13,2019.01
11_13_BC,11_13_BC_000025.JPG,11/25/18 9:57,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,4:57:03,2019.01
11_13_BC,11_13_BC_000028.JPG,11/25/18 9:59,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,4:59:43,2019.01
11_13_BC,11_13_BC_000031.JPG,11/25/18 12:25,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,7:25:58,2019.01
11_13_BC,11_13_BC_000034.JPG,11/25/18 12:43,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,7:43:30,2019.01
11_13_BC,11_13_BC_000037.JPG,11/25/18 12:47,109,11/15/18,3/4/19,NOTHINGHERE,11/25/18,7:47:05,2019.01
11_13_BC,11_13_BC_000040.JPG,11/25/18 14:34,109,11/15/18,3/4/19,SQUIRRELGRAY,11/25/18,9:34:17,2019.01
11_13_BC,11_13_BC_000043.JPG,11/25/18 15:59,109,11/15/18,3/4/19,SOMETHINGHERE,11/25/18,10:59:20,2019.01
11_13_BC,11_13_BC_000046.JPG,11/25/18 17:26,109,11/15/18,3/4/19,PORCUPINE,11/25/18,12:26:50,2019.01
11_13_BC,11_13_BC_000049.JPG,11/25/18 18:36,109,11/15/18,3/4/19,PORCUPINE,11/25/18,13:36:29,2019.01
11_13_BC,11_13_BC_000052.JPG,11/26/18 8:01,109,11/15/18,3/4/19,SQUIRRELGRAY,11/26/18,3:01:29,2019.01
11_13_BC,11_13_BC_000055.JPG,11/26/18 10:59,109,11/15/18,3/4/19,SQUIRRELGRAY,11/26/18,5:59:37,2019.01
11_13_BC,11_13_BC_000058.JPG,11/27/18 10:21,109,11/15/18,3/4/19,NOTHINGHERE,11/27/18,5:21:10,2019.01
11_13_BC,11_13_BC_000061.JPG,11/28/18 12:21,109,11/15/18,3/4/19,SQUIRRELGRAY,11/28/18,7:21:17,2019.01
11_13_BC,11_13_BC_000064.JPG,11/29/18 11:09,109,11/15/18,3/4/19,SQUIRRELGRAY,11/29/18,6:09:54,2019.01
11_13_BC,11_13_BC_000067.JPG,11/29/18 11:50,109,11/15/18,3/4/19,SQUIRRELGRAY,11/29/18,6:50:38,2019.01
11_13_BC,11_13_BC_000070.JPG,11/29/18 17:26,109,11/15/18,3/4/19,PORCUPINE,11/29/18,12:26:23,2019.01
11_13_BC,11_13_BC_000073.JPG,12/1/18 17:10,109,11/15/18,3/4/19,PORCUPINE,12/1/18,12:10:01,2019.01
11_13_BC,11_13_BC_000076.JPG,12/2/18 13:07,109,11/15/18,3/4/19,SQUIRRELGRAY,12/2/18,8:07:15,2019.01
11_13_BC,11_13_BC_000079.JPG,12/3/18 13:10,109,11/15/18,3/4/19,SQUIRRELGRAY,12/3/18,8:10:36,2019.01
11_13_BC,11_13_BC_000082.JPG,12/5/18 17:30,109,11/15/18,3/4/19,PORCUPINE,12/5/18,12:30:13,2019.01
11_13_BC,11_13_BC_000085.JPG,12/7/18 8:32,109,11/15/18,3/4/19,NOTHINGHERE,12/7/18,3:32:09,2019.01
11_13_BC,11_13_BC_000088.JPG,12/8/18 11:57,109,11/15/18,3/4/19,SQUIRRELGRAY,12/8/18,6:57:16,2019.01
11_13_BC,11_13_BC_000091.JPG,12/10/18 13:23,109,11/15/18,3/4/19,SQUIRRELGRAY,12/10/18,8:23:17,2019.01
11_13_BC,11_13_BC_000094.JPG,12/10/18 13:37,109,11/15/18,3/4/19,SQUIRRELGRAY,12/10/18,8:37:07,2019.01
11_13_BC,11_13_BC_000097.JPG,12/10/18 13:44,109,11/15/18,3/4/19,SQUIRRELGRAY,12/10/18,8:44:06,2019.01
11_13_BC,11_13_BC_000100.JPG,12/12/18 12:05,109,11/15/18,3/4/19,SQUIRRELGRAY,12/12/18,7:05:02,2019.01
