Sampling.Unit.Name,ndays,Start.Date,End.Date,bin,Sampling.Event
WHIP,49,12/6/18,1/24/19,NOTHINGHERE,2019.01
WHIP,49,12/6/18,1/24/19,DEERWHITETAILED,2019.01
WHIP,49,12/6/18,1/24/19,FISHER,2019.01
WHIP,49,12/6/18,1/24/19,RACCOON,2019.01
WHIP,49,12/6/18,1/24/19,SQUIRRELGRAY,2019.01
WHIP,49,12/6/18,1/24/19,SOMETHINGHERE,2019.01
WHIP,49,12/6/18,1/24/19,COYOTE,2019.01
WHIP,49,12/6/18,1/24/19,DOMESTICDOG,2019.01
WHIP,49,12/6/18,1/24/19,FOXRED,2019.01
WHIP,49,12/6/18,1/24/19,HUMAN,2019.01
WF,65,11/27/18,1/31/19,HUMAN,2019.01
WF,65,11/27/18,1/31/19,NOTHINGHERE,2019.01
WF,65,11/27/18,1/31/19,COYOTE,2019.01
WF,65,11/27/18,1/31/19,FISHER,2019.01
WF,65,11/27/18,1/31/19,SOMETHINGHERE,2019.01
WF,65,11/27/18,1/31/19,DEERWHITETAILED,2019.01
WF,65,11/27/18,1/31/19,TURKEY,2019.01
WF,65,11/27/18,1/31/19,SQUIRRELGRAY,2019.01
WF,65,11/27/18,1/31/19,FOXRED,2019.01
WF,65,11/27/18,1/31/19,DOMESTICDOG,2019.01
DEG,73,11/26/18,2/7/19,SOMETHINGHERE,2019.01
DEG,73,11/26/18,2/7/19,DEERWHITETAILED,2019.01
DEG,73,11/26/18,2/7/19,FISHER,2019.01
DEG,73,11/26/18,2/7/19,NOTHINGHERE,2019.01
DEG,73,11/26/18,2/7/19,SNOWSHOEHARE,2019.01
DEG,73,11/26/18,2/7/19,HUMAN,2019.01
DEG,73,11/26/18,2/7/19,SQUIRRELGRAY,2019.01
DEG,73,11/26/18,2/7/19,COYOTE,2019.01
DEG,73,11/26/18,2/7/19,SQUIRRELRED,2019.01
DEG,73,11/26/18,2/7/19,TURKEY,2019.01
DEG,73,11/26/18,2/7/19,PORCUPINE,2019.01
DON,74,12/13/18,2/25/19,SOMETHINGHERE,2019.01
DON,74,12/13/18,2/25/19,DEERWHITETAILED,2019.01
DON,74,12/13/18,2/25/19,NOTHINGHERE,2019.01
DON,74,12/13/18,2/25/19,RACCOON,2019.01
DON,74,12/13/18,2/25/19,COYOTE,2019.01
DON,74,12/13/18,2/25/19,FOXRED,2019.01
DON,74,12/13/18,2/25/19,GROUSERUFFED,2019.01
DON,74,12/13/18,2/25/19,HUMAN,2019.01
IMG,75,12/12/18,2/25/19,NOTHINGHERE,2019.01
IMG,75,12/12/18,2/25/19,DEERWHITETAILED,2019.01
SH,89,11/14/18,2/11/19,NOTHINGHERE,2019.01
SH,89,11/14/18,2/11/19,DEERWHITETAILED,2019.01
SH,89,11/14/18,2/11/19,SQUIRRELGRAY,2019.01
SH,89,11/14/18,2/11/19,SOMETHINGHERE,2019.01
SH,89,11/14/18,2/11/19,FOXRED,2019.01
SH,89,11/14/18,2/11/19,RACCOON,2019.01
SH,89,11/14/18,2/11/19,COYOTE,2019.01
SH,89,11/14/18,2/11/19,OTHERBIRD,2019.01
SH,89,11/14/18,2/11/19,OTHERSMALLMAMMAL,2019.01
SH,90,11/13/18,2/11/19,HUMAN,2019.01
SH,90,11/13/18,2/11/19,DOMESTICDOG,2019.01
SH,90,11/13/18,2/11/19,OTHERSMALLMAMMAL,2019.01
SH,90,11/13/18,2/11/19,NOTHINGHERE,2019.01
SH,90,11/13/18,2/11/19,DEERWHITETAILED,2019.01
SH,90,11/13/18,2/11/19,SQUIRRELGRAY,2019.01
SH,90,11/13/18,2/11/19,COYOTE,2019.01
SH,90,11/13/18,2/11/19,FOXRED,2019.01
SH,90,11/13/18,2/11/19,SQUIRRELRED,2019.01
SH,90,11/13/18,2/11/19,SOMETHINGHERE,2019.01
DON,94,11/26/18,2/28/19,HUMAN,2019.01
DON,94,11/26/18,2/28/19,FOXRED,2019.01
DON,94,11/26/18,2/28/19,NOTHINGHERE,2019.01
DON,94,11/26/18,2/28/19,SOMETHINGHERE,2019.01
DON,94,11/26/18,2/28/19,SQUIRRELGRAY,2019.01
DON,94,11/26/18,2/28/19,GROUSERUFFED,2019.01
BC,109,11/15/18,3/4/19,HUMAN,2019.01
BC,109,11/15/18,3/4/19,DEERWHITETAILED,2019.01
BC,109,11/15/18,3/4/19,NOTHINGHERE,2019.01
BC,109,11/15/18,3/4/19,SQUIRRELGRAY,2019.01
BC,109,11/15/18,3/4/19,SOMETHINGHERE,2019.01
BC,109,11/15/18,3/4/19,PORCUPINE,2019.01
BC,109,11/15/18,3/4/19,OTHERSMALLMAMMAL,2019.01
BC,109,11/15/18,3/4/19,TURKEY,2019.01
BC,109,11/15/18,3/4/19,BOBCAT,2019.01
BC,109,11/15/18,3/4/19,RACCOON,2019.01
BC,109,11/15/18,3/4/19,WEASEL,2019.01
BC,109,11/15/18,3/4/19,GROUSERUFFED,2019.01
BC,109,11/15/18,3/4/19,FISHER,2019.01
BC,109,11/15/18,3/4/19,SQUIRRELRED,2019.01
