Per_Deciduous_forest_1km,Per_Evergreen_forest_1km,Per_Mixed_forest_1km,Per_Total_forest_1km
0.616640717,-0.279801515,0.099676249,1.045344482
-1.198502238,1.620454392,-0.092899066,0.627090433
-0.97279781,1.096487935,-0.595610505,-0.197474384
-1.5524763,0.333507724,0.250599123,-3.369546937
1.079764427,-1.135850213,-0.805145643,-0.070251442
1.060512703,-0.903872015,0.210268904,0.780083873
-0.859200431,1.18326961,-0.574107313,0.333443509
0.928273171,-1.034795471,-0.805145643,-0.24012323
-0.067313684,0.276586487,2.799611592,1.420193658
1.21422372,-1.135850213,-0.202475454,0.49959042
-0.748667327,0.639255418,2.251956968,0.250159481
1.037791636,-1.072869674,-0.805145643,-0.032015701
-0.048534131,-0.241106054,-0.20356135,-0.78896388
-1.343074571,1.361206132,0.341267836,-0.258006078
-1.089878285,1.345572246,-0.504082265,0.118601366
1.217626237,-1.135850213,-0.805145643,0.308583113
0.162757118,-0.305979029,-0.477598931,-0.457642552
0.562855048,-0.610365547,-0.082463214,0.03093387
