"","X","Image1","DateTimeOriginal","ForestName","Camera","Camera_Trap_Days","Date_Out","Date_Checked","choice","ID"
"1",47,"25_09_SH_0042.JPG","2018-11-18 00:15:50","SH",25,90,"18/11/13","19/02/11","COYOTE",1
"2",67,"25_09_SH_0051.JPG","2018-11-21 03:48:02","SH",25,90,"18/11/13","19/02/11","FOXRED",1
"3",114,"28_15_DEG_0008.JPG","2018-11-27 20:02:07","DEG",28,73,"18/11/26","19/02/07","FISHER",1
"4",115,"22_18_WF_0001.JPG","2018-11-27 23:02:56","WF",22,65,"18/11/27","19/01/31","COYOTE",1
"5",116,"22_18_WF_0004.JPG","2018-11-28 03:53:12","WF",22,65,"18/11/27","19/01/31","FISHER",1
"6",130,"29_19_DEG_0007.JPG","2018-11-29 00:16:13","DEG",29,73,"18/11/26","19/02/07","FISHER",1
"7",131,"22_18_WF_0010.JPG","2018-11-29 01:23:51","WF",22,65,"18/11/27","19/01/31","FISHER",1
"8",132,"22_18_WF_0013.JPG","2018-11-29 01:29:39","WF",22,65,"18/11/27","19/01/31","FISHER",1
"9",138,"21_21_DON_0003.JPG","2018-11-29 19:02:54","DON",21,94,"18/11/26","19/02/28","FOXRED",1
"10",143,"22_18_WF_0016.JPG","2018-11-30 10:12:41","WF",22,65,"18/11/27","19/01/31","FISHER",1
"11",144,"22_18_WF_0019.JPG","2018-11-30 11:43:36","WF",22,65,"18/11/27","19/01/31","FISHER",1
"12",163,"22_18_WF_0037.JPG","2018-12-02 00:00:04","WF",22,65,"18/11/27","19/01/31","FISHER",1
"13",199,"22_18_WF_0052.JPG","2018-12-05 06:58:31","WF",22,65,"18/11/27","19/01/31","FISHER",1
"14",218,"23_03_SH_0031.JPG","2018-12-07 18:56:37","SH",23,89,"18/11/14","19/02/11","FOXRED",1
"15",237,"33_01_WF_0061.JPG","2018-12-10 04:47:39","WF",33,65,"18/11/27","19/01/31","COYOTE",1
"16",238,"25_09_SH_0069.JPG","2018-12-10 04:56:18","SH",25,90,"18/11/13","19/02/11","FOXRED",1
"17",244,"33_01_WF_0067.JPG","2018-12-11 08:53:25","WF",33,65,"18/11/27","19/01/31","COYOTE",1
