"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort"
"1","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0028.JPG","27_08_IMG_0028.JPG","799 kB","BTC5HDP",2018-01-12 12:34:51,"2000x1111","42.0 mm","Jan-67",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 12:34:51"
"2","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0029.JPG","27_08_IMG_0029.JPG","802 kB","BTC5HDP",2018-01-12 12:34:53,"2000x1111","42.0 mm","Jan-67",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 12:34:53"
"3","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0030.JPG","27_08_IMG_0030.JPG","802 kB","BTC5HDP",2018-01-12 12:34:55,"2000x1111","42.0 mm","Jan-67",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 12:34:55"
"4","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0031.JPG","27_08_IMG_0031.JPG","862 kB","BTC5HDP",2018-01-12 13:13:21,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 13:13:21"
"5","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0032.JPG","27_08_IMG_0032.JPG","792 kB","BTC5HDP",2018-01-12 13:13:23,"2000x1111","42.0 mm","Jan-97",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 13:13:23"
"6","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0033.JPG","27_08_IMG_0033.JPG","794 kB","BTC5HDP",2018-01-12 13:13:25,"2000x1111","42.0 mm","Jan-97",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 13:13:25"
"7","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0034.JPG","27_08_IMG_0034.JPG","714 kB","BTC5HDP",2018-01-12 15:27:21,"2000x1111","42.0 mm","1/664",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 15:27:21"
"8","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0035.JPG","27_08_IMG_0035.JPG","733 kB","BTC5HDP",2018-01-12 15:27:23,"2000x1111","42.0 mm","1/558",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 15:27:23"
"9","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0036.JPG","27_08_IMG_0036.JPG","715 kB","BTC5HDP",2018-01-12 15:27:25,"2000x1111","42.0 mm","1/609",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-12 15:27:25"
"10","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0037.JPG","27_08_IMG_0037.JPG","858 kB","BTC5HDP",2018-01-13 11:48:25,"2000x1111","42.0 mm","Jan-49",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:48:25"
"11","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0038.JPG","27_08_IMG_0038.JPG","812 kB","BTC5HDP",2018-01-13 11:48:27,"2000x1111","42.0 mm","Jan-00",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:48:27"
"12","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0039.JPG","27_08_IMG_0039.JPG","827 kB","BTC5HDP",2018-01-13 11:48:29,"2000x1111","42.0 mm","Jan-00",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:48:29"
"13","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0040.JPG","27_08_IMG_0040.JPG","835 kB","BTC5HDP",2018-01-13 11:53:43,"2000x1111","42.0 mm","Jan-93",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:53:43"
"14","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0041.JPG","27_08_IMG_0041.JPG","830 kB","BTC5HDP",2018-01-13 11:53:45,"2000x1111","42.0 mm","Jan-17",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:53:45"
"15","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0042.JPG","27_08_IMG_0042.JPG","830 kB","BTC5HDP",2018-01-13 11:53:47,"2000x1111","42.0 mm","Jan-49",2.4,100,"Unknown (288)","Auto, Did not fire","2018-01-13 11:53:47"
"16","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0043.JPG","27_08_IMG_0043.JPG","867 kB","BTC5HDP",2018-02-08 17:44:50,"2000x1111","42.0 mm","20-Jan",2.4,1600,"Unknown (288)","Auto, Fired","2018-02-08 17:44:50"
"17","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0044.JPG","27_08_IMG_0044.JPG","729 kB","BTC5HDP",2018-02-08 17:44:53,"2000x1111","42.0 mm","28-Jan",2.4,100,"Unknown (288)","Auto, Fired","2018-02-08 17:44:53"
"18","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0045.JPG","27_08_IMG_0045.JPG","726 kB","BTC5HDP",2018-02-08 17:44:55,"2000x1111","42.0 mm","Jan-50",2.4,100,"Unknown (288)","Auto, Fired","2018-02-08 17:44:55"
"19","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0046.JPG","27_08_IMG_0046.JPG","733 kB","BTC5HDP",2018-02-25 16:57:14,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:14"
"20","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0047.JPG","27_08_IMG_0047.JPG","731 kB","BTC5HDP",2018-02-25 16:57:16,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:16"
"21","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0048.JPG","27_08_IMG_0048.JPG","730 kB","BTC5HDP",2018-02-25 16:57:18,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:18"
"22","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0001.JPG","33_01_WF_0001.JPG","837 kB","BTC5HDP",2018-11-12 17:15:54,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:54"
"23","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0002.JPG","33_01_WF_0002.JPG","761 kB","BTC5HDP",2018-11-12 17:15:56,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:56"
"24","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0003.JPG","33_01_WF_0003.JPG","755 kB","BTC5HDP",2018-11-12 17:15:58,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:58"
"25","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0001.JPG","25_09_SH_0001.JPG","804 kB","BTC5HDP",2018-11-13 15:52:00,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:00"
"26","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0002.JPG","25_09_SH_0002.JPG","862 kB","BTC5HDP",2018-11-13 15:52:02,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:02"
"27","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0003.JPG","25_09_SH_0003.JPG","849 kB","BTC5HDP",2018-11-13 15:52:04,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:04"
"28","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0004.JPG","25_09_SH_0004.JPG","819 kB","BTC5HDP",2018-11-13 15:53:46,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:46"
"29","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0005.JPG","25_09_SH_0005.JPG","848 kB","BTC5HDP",2018-11-13 15:53:48,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:48"
"30","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0006.JPG","25_09_SH_0006.JPG","858 kB","BTC5HDP",2018-11-13 15:53:50,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:50"
"31","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0007.JPG","25_09_SH_0007.JPG","844 kB","BTC5HDP",2018-11-13 15:54:51,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:54:51"
