ID,Image1,Image2,Image3,!Round,!Batch,#ForestName,!ForestType,#CamNumber,#SDCardNum,#DeploymentDate,#PickUpDate,#CamOrient,!TreeSpecies,#LandType
13,03_05_SH_000001.JPG,03_05_SH_000002.JPG,03_05_SH_000003.JPG,1,1,SH,Deciduous ,,,,,,,
57,03_05_SH_000004.JPG,03_05_SH_000005.JPG,03_05_SH_000006.JPG,1,1,SH,Deciduous ,,,,,,,
72,03_05_SH_000007.JPG,03_05_SH_000008.JPG,03_05_SH_000009.JPG,1,1,SH,Deciduous ,,,,,,,
88,03_05_SH_000010.JPG,03_05_SH_000011.JPG,03_05_SH_000012.JPG,1,1,SH,Deciduous ,,,,,,,
119,03_05_SH_000013.JPG,03_05_SH_000014.JPG,03_05_SH_000015.JPG,1,1,SH,Deciduous ,,,,,,,
153,04_26_WF_000001.JPG,04_26_WF_000002.JPG,04_26_WF_000003.JPG,1,1,WF,Pine ,,,,,,,
154,04_26_WF_000004.JPG,04_26_WF_000005.JPG,04_26_WF_000006.JPG,1,1,WF,Pine ,,,,,,,
155,04_26_WF_000007.JPG,04_26_WF_000008.JPG,04_26_WF_000009.JPG,1,1,WF,Pine ,,,,,,,
156,04_26_WF_000010.JPG,04_26_WF_000011.JPG,04_26_WF_000012.JPG,1,1,WF,Pine ,,,,,,,
158,04_26_WF_000013.JPG,04_26_WF_000014.JPG,04_26_WF_000015.JPG,1,1,WF,Pine ,,,,,,,
166,04_26_WF_000016.JPG,04_26_WF_000017.JPG,04_26_WF_000018.JPG,1,1,WF,Pine ,,,,,,,
204,04_26_WF_000019.JPG,04_26_WF_000020.JPG,04_26_WF_000021.JPG,1,1,WF,Pine ,,,,,,,
205,04_26_WF_000022.JPG,04_26_WF_000023.JPG,04_26_WF_000024.JPG,1,1,WF,Pine ,,,,,,,
236,04_26_WF_000025.JPG,04_26_WF_000026.JPG,04_26_WF_000027.JPG,1,1,WF,Pine ,,,,,,,
