,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Sort
339,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000001.JPG,02_07_WHIP_000001.JPG,861 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
159,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000002.JPG,02_07_WHIP_000002.JPG,861 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
345,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000003.JPG,02_07_WHIP_000003.JPG,861 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
433,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000004.JPG,02_07_WHIP_000004.JPG,835 kB,,1/1/13 5:47,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:47
434,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000005.JPG,02_07_WHIP_000005.JPG,835 kB,,1/1/13 5:47,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:47
435,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000006.JPG,02_07_WHIP_000006.JPG,856 kB,,1/1/13 5:47,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:47
436,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000007.JPG,02_07_WHIP_000007.JPG,773 kB,,1/1/13 5:49,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:49
437,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000008.JPG,02_07_WHIP_000008.JPG,816 kB,,1/1/13 5:49,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:49
438,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000009.JPG,02_07_WHIP_000009.JPG,828 kB,,1/1/13 5:49,2000x1500,,0,2.8,100,,No Flash,1/1/13 5:49
487,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000010.JPG,02_07_WHIP_000010.JPG,856 kB,,1/1/13 18:02,2000x1500,,0,2.8,100,,No Flash,1/1/13 18:02
488,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000011.JPG,02_07_WHIP_000011.JPG,854 kB,,1/1/13 18:02,2000x1500,,0,2.8,100,,No Flash,1/1/13 18:02
489,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000012.JPG,02_07_WHIP_000012.JPG,685 kB,,1/1/13 18:02,2000x1500,,0,2.8,100,,No Flash,1/1/13 18:02
502,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000013.JPG,02_07_WHIP_000013.JPG,773 kB,,1/1/13 21:04,2000x1500,,0,2.8,100,,No Flash,1/1/13 21:04
503,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000014.JPG,02_07_WHIP_000014.JPG,777 kB,,1/1/13 21:04,2000x1500,,0,2.8,100,,No Flash,1/1/13 21:04
504,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000015.JPG,02_07_WHIP_000015.JPG,776 kB,,1/1/13 21:04,2000x1500,,0,2.8,100,,No Flash,1/1/13 21:04
559,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000016.JPG,02_07_WHIP_000016.JPG,838 kB,,1/2/13 23:44,2000x1500,,0,2.8,100,,No Flash,1/2/13 23:44
560,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000017.JPG,02_07_WHIP_000017.JPG,838 kB,,1/2/13 23:44,2000x1500,,0,2.8,100,,No Flash,1/2/13 23:44
561,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000018.JPG,02_07_WHIP_000018.JPG,837 kB,,1/2/13 23:44,2000x1500,,0,2.8,100,,No Flash,1/2/13 23:44
20,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000019.JPG,02_07_WHIP_000019.JPG,834 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
21,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000020.JPG,02_07_WHIP_000020.JPG,832 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
