SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0001.JPG,27_08_IMG_0001.JPG,862 kB,BTC5HDP,2017:12:13 13:49:04,2000x1111,42.0 mm,1/1798,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000002.JPG,11_13_BC_000002.JPG,878 kB,,2018:11:16 14:17:12,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0003.JPG,24_04_BC_0003.JPG,859 kB,BTC5HDP,2018:11:15 12:33:26,2000x1111,42.0 mm,1/583,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/31_06_WHIP_0001.JPG,31_06_WHIP_0001.JPG,767 kB,BTC5HDP,2017:01:01 01:25:49,2000x1111,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0004.JPG,24_04_BC_0004.JPG,827 kB,BTC5HDP,2018:11:15 12:34:27,2000x1111,42.0 mm,1/480,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000003.JPG,11_13_BC_000003.JPG,876 kB,,2018:11:16 14:17:13,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0005.JPG,24_04_BC_0005.JPG,838 kB,BTC5HDP,2018:11:15 12:34:30,2000x1111,42.0 mm,1/480,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/17_24_BC_000002.JPG,17_24_BC_000002.JPG,828 kB,,2018:11:16 16:09:16,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0006.JPG,24_04_BC_0006.JPG,847 kB,BTC5HDP,2018:11:15 12:34:32,2000x1111,42.0 mm,1/480,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000004.JPG,11_13_BC_000004.JPG,846 kB,,2018:11:16 14:18:48,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0007.JPG,24_04_BC_0007.JPG,811 kB,BTC5HDP,2018:11:15 12:35:36,2000x1111,42.0 mm,1/395,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0003.JPG,30_20_BC_0003.JPG,826 kB,BTC5HDP,2017:01:03 08:04:22,2000x1111,42.0 mm,20-Jan,2.4,400,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0008.JPG,24_04_BC_0008.JPG,875 kB,BTC5HDP,2018:11:15 12:35:38,2000x1111,42.0 mm,1/431,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000005.JPG,11_13_BC_000005.JPG,846 kB,,2018:11:16 14:18:48,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0009.JPG,24_04_BC_0009.JPG,858 kB,BTC5HDP,2018:11:15 12:35:40,2000x1111,42.0 mm,1/431,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0002.JPG,27_08_IMG_0002.JPG,856 kB,BTC5HDP,2017:12:13 13:49:06,2000x1111,42.0 mm,1/1218,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0010.JPG,24_04_BC_0010.JPG,852 kB,BTC5HDP,2018:11:15 12:36:41,2000x1111,42.0 mm,1/431,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000006.JPG,11_13_BC_000006.JPG,843 kB,,2018:11:16 14:18:49,2000x1500,,0,2.8,100,,No Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0011.JPG,24_04_BC_0011.JPG,875 kB,BTC5HDP,2018:11:15 12:36:43,2000x1111,42.0 mm,1/431,2.4,100,Unknown (288),"Auto, Did not fire"
