Sampling.Unit.Name	Start.Date	End.Date	ndays
46284	CT-UDZ-1-01	2009-07-27	2009-08-28	32
68897	CT-UDZ-1-02	2009-07-25	2009-08-28	34
11736	CT-UDZ-1-03	2009-07-26	2009-08-28	33
66436	CT-UDZ-1-04	2009-07-24	2009-08-30	37
52009	CT-UDZ-1-05	2009-07-27	2009-08-30	34
26397	CT-UDZ-1-06	2009-07-28	2009-08-31	34
1008	CT-UDZ-1-07	2009-07-25	2009-08-28	34
67384	CT-UDZ-1-08	2009-07-25	2009-08-28	34
5598	CT-UDZ-1-09	2009-07-28	2009-08-31	34
57701	CT-UDZ-1-10	2009-07-28	2009-08-31	34
42942	CT-UDZ-1-11	2009-07-29	2009-08-31	33
72846	CT-UDZ-1-13	2009-07-31	2009-09-02	33
57646	CT-UDZ-1-14	2009-08-01	2009-09-03	33
64749	CT-UDZ-1-15	2009-08-02	2009-09-04	33
30243	CT-UDZ-1-16	2009-08-03	2009-09-04	32
46727	CT-UDZ-1-17	2009-07-31	2009-09-03	34
38643	CT-UDZ-1-18	2009-08-02	2009-09-02	31
66339	CT-UDZ-1-19	2009-07-31	2009-09-02	33
66388	CT-UDZ-1-20	2009-07-30	2009-08-06	7
24879	CT-UDZ-2-01	2009-09-16	2009-10-17	31
64891	CT-UDZ-2-02	2009-09-16	2009-10-17	31
63591	CT-UDZ-2-03	2009-09-09	2009-10-10	31
43377	CT-UDZ-2-04	2009-09-09	2009-10-10	31
70346	CT-UDZ-2-05	2009-09-15	2009-10-16	31
69258	CT-UDZ-2-06	2009-09-15	2009-10-16	31
56118	CT-UDZ-2-07	2009-09-15	2009-10-16	31
1569	CT-UDZ-2-08	2009-09-09	2009-10-10	31
49116	CT-UDZ-2-09	2009-09-08	2009-10-10	32
53389	CT-UDZ-2-10	2009-09-07	2009-10-09	32
26742	CT-UDZ-2-11	2009-09-14	2009-10-15	31
32427	CT-UDZ-2-12	2009-09-14	2009-10-15	31
35542	CT-UDZ-2-13	2009-09-13	2009-10-14	31
74966	CT-UDZ-2-14	2009-09-10	2009-10-12	32
637	CT-UDZ-2-15	2009-09-08	2009-10-09	31
7351	CT-UDZ-2-16	2009-09-07	2009-10-09	32
31998	CT-UDZ-2-17	2009-09-13	2009-10-14	31
94	CT-UDZ-2-18	2009-09-13	2009-10-14	31
32879	CT-UDZ-2-19	2009-09-12	2009-10-13	31
28014	CT-UDZ-2-20	2009-09-10	2009-10-12	32
7034	CT-UDZ-3-01	2009-10-28	2009-12-04	37
29865	CT-UDZ-3-02	2009-10-28	2009-12-04	37
66248	CT-UDZ-3-03	2009-10-28	2009-12-04	37
60560	CT-UDZ-3-04	2009-10-30	2009-11-29	30
48982	CT-UDZ-3-05	2009-11-01	2009-12-01	30
75027	CT-UDZ-3-06	2009-10-31	2009-11-30	30
51842	CT-UDZ-3-07	2009-11-03	2009-12-03	30
51982	CT-UDZ-3-08	2009-11-02	2009-12-02	30
8062	CT-UDZ-3-09	2009-10-26	2009-11-26	31
56298	CT-UDZ-3-10	2009-10-30	2009-11-21	22
49637	CT-UDZ-3-11	2009-11-01	2009-12-01	30
6147	CT-UDZ-3-12	2009-11-02	2009-12-02	30
49629	CT-UDZ-3-14	2009-10-31	2009-11-30	30
52599	CT-UDZ-3-15	2009-10-30	2009-11-29	30
1351	CT-UDZ-3-16	2009-11-02	2009-12-02	30
3278	CT-UDZ-3-17	2009-10-27	2009-11-26	30
51693	CT-UDZ-3-18	2009-10-31	2009-11-30	30
34623	CT-UDZ-3-19	2009-10-31	2009-11-30	30
69337	CT-UDZ-3-20	2009-11-02	2009-12-02	30
