"","subject_ids","num_class","num_votes","agg_num_species","diff_species","choice","votes","propvote","propclass","med_count","min_count","max_count","behavior_CLIMBING","behavior_DIGGING","behavior_FLYING","behavior_FORAGINGEATING","behavior_INTERACTING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING"
"1",1,1,1,1,1,"NOTHINGHERE",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,1,1,1,"WHITETAILEDDEER",1,1,1,1,1,1,0,0,0,0,0,0,0,1
"3",3,1,1,1,1,"COYOTE",1,1,1,1,1,1,0,0,0,0,0,0,0,1
"4",4,2,2,1,2,"GRAYSQUIRREL",1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
"5",4,2,2,1,2,"REDSQUIRREL",1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
"6",5,1,1,1,1,"PORCUPINE",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",6,1,1,1,1,"SOMETHINGHERE",1,1,1,1,1,1,0,0,0,1,0,0,0,1
"8",7,3,3,1,2,"BOBCAT",1,0.333333333333333,0.333333333333333,1,1,1,0,0,0,0,0,0,0,1
"9",7,3,3,1,2,"DOMESTICCAT",2,0.666666666666667,0.666666666666667,1,1,1,0,0,0,0.5,0,0,0,1
"10",8,1,1,1,1,"PORCUPINE",1,1,1,1,1,1,0,0,0,0,0,0,0,1
"11",9,5,5,1,5,"BOBCAT",1,0.2,0.2,2,2,2,0,0,0,1,0,0,0,0
"12",9,5,5,1,5,"COTTONTAIL",1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",9,5,5,1,5,"DOMESTICCAT",1,0.2,0.2,1,1,1,0,0,0,0,0,0,0,1
"14",9,5,5,1,5,"PORCUPINE",1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",9,5,5,1,5,"RACCOON",1,0.2,0.2,2,2,2,0,0,0,1,0,0,0,1
"16",10,2,2,1,1,"GRAYSQUIRREL",2,1,1,1,1,1,0,0,0,0,0,0,0.5,0.5
"17",11,1,1,1,1,"PORCUPINE",1,1,1,1,1,1,0,0,0,0,0,0,1,0
"18",12,1,1,1,1,"PORCUPINE",1,1,1,1,1,1,0,0,0,0,0,0,0,1
